ReadingId,DeviceId,Timestamp,SensorId,SensorType,Value,Unit,Quality
TR-001,DEV-001,2024-10-15T08:00:00,SNS-001,HeartRate,72,bpm,Good
TR-002,DEV-001,2024-10-15T08:00:00,SNS-002,OxygenSaturation,97,pct,Good
TR-003,DEV-001,2024-10-15T08:00:00,SNS-003,BloodPressure,128,mmHg,Good
TR-004,DEV-001,2024-10-15T08:00:00,SNS-004,Temperature,36.8,C,Good
TR-005,DEV-001,2024-10-15T08:15:00,SNS-001,HeartRate,75,bpm,Good
TR-006,DEV-001,2024-10-15T08:15:00,SNS-002,OxygenSaturation,96,pct,Good
TR-007,DEV-001,2024-10-15T08:15:00,SNS-003,BloodPressure,132,mmHg,Good
TR-008,DEV-001,2024-10-15T08:15:00,SNS-004,Temperature,36.9,C,Good
TR-009,DEV-003,2024-10-15T08:00:00,SNS-005,HeartRate,88,bpm,Good
TR-010,DEV-003,2024-10-15T08:00:00,SNS-006,OxygenSaturation,94,pct,Good
TR-011,DEV-003,2024-10-15T08:00:00,SNS-007,BloodPressure,145,mmHg,Good
TR-012,DEV-003,2024-10-15T08:15:00,SNS-005,HeartRate,92,bpm,Good
TR-013,DEV-003,2024-10-15T08:15:00,SNS-006,OxygenSaturation,93,pct,Good
TR-014,DEV-003,2024-10-15T08:15:00,SNS-007,BloodPressure,150,mmHg,Good
TR-015,DEV-002,2024-10-15T08:00:00,SNS-008,AirFlow,12.5,L/min,Good
TR-016,DEV-002,2024-10-15T08:00:00,SNS-009,AirwayPressure,18,cmH2O,Good
TR-017,DEV-002,2024-10-15T08:00:00,SNS-010,FiO2,40,pct,Good
TR-018,DEV-002,2024-10-15T08:15:00,SNS-008,AirFlow,12.8,L/min,Good
TR-019,DEV-002,2024-10-15T08:15:00,SNS-009,AirwayPressure,19,cmH2O,Good
TR-020,DEV-002,2024-10-15T08:15:00,SNS-010,FiO2,40,pct,Good
TR-021,DEV-005,2024-10-15T08:00:00,SNS-011,InfusionRate,125,mL/hr,Good
TR-022,DEV-005,2024-10-15T08:15:00,SNS-011,InfusionRate,125,mL/hr,Good
TR-023,DEV-007,2024-10-15T08:00:00,SNS-012,HeartRate,110,bpm,Good
TR-024,DEV-007,2024-10-15T08:00:00,SNS-013,OxygenSaturation,98,pct,Good
TR-025,DEV-007,2024-10-15T08:15:00,SNS-012,HeartRate,108,bpm,Good
TR-026,DEV-007,2024-10-15T08:15:00,SNS-013,OxygenSaturation,99,pct,Good
TR-027,DEV-008,2024-10-15T08:00:00,SNS-014,AirFlow,8.5,L/min,Good
TR-028,DEV-008,2024-10-15T08:15:00,SNS-014,AirFlow,8.8,L/min,Good
TR-029,DEV-009,2024-10-15T08:00:00,SNS-015,InfusionRate,50,mL/hr,Good
TR-030,DEV-009,2024-10-15T08:15:00,SNS-015,InfusionRate,50,mL/hr,Good
TR-031,DEV-010,2024-10-15T08:00:00,SNS-016,EEG,-45,uV,Good
TR-032,DEV-010,2024-10-15T08:15:00,SNS-016,EEG,-38,uV,Good
TR-033,DEV-001,2024-10-15T08:30:00,SNS-001,HeartRate,78,bpm,Good
TR-034,DEV-001,2024-10-15T08:30:00,SNS-002,OxygenSaturation,95,pct,Good
TR-035,DEV-001,2024-10-15T08:30:00,SNS-003,BloodPressure,135,mmHg,Good
TR-036,DEV-001,2024-10-15T08:30:00,SNS-004,Temperature,37.1,C,Good
TR-037,DEV-003,2024-10-15T08:30:00,SNS-005,HeartRate,95,bpm,Good
TR-038,DEV-003,2024-10-15T08:30:00,SNS-006,OxygenSaturation,91,pct,Warning
TR-039,DEV-003,2024-10-15T08:30:00,SNS-007,BloodPressure,158,mmHg,Warning
TR-040,DEV-001,2024-10-15T08:45:00,SNS-001,HeartRate,82,bpm,Good
TR-041,DEV-001,2024-10-15T08:45:00,SNS-002,OxygenSaturation,94,pct,Good
TR-042,DEV-003,2024-10-15T08:45:00,SNS-005,HeartRate,100,bpm,Good
TR-043,DEV-003,2024-10-15T08:45:00,SNS-006,OxygenSaturation,89,pct,Warning
TR-044,DEV-002,2024-10-15T08:30:00,SNS-008,AirFlow,13.2,L/min,Good
TR-045,DEV-002,2024-10-15T08:30:00,SNS-009,AirwayPressure,20,cmH2O,Good
TR-046,DEV-014,2024-10-15T08:00:00,SNS-019,Temperature,36.5,C,Good
TR-047,DEV-014,2024-10-15T08:15:00,SNS-019,Temperature,36.6,C,Good
TR-048,DEV-015,2024-10-15T08:00:00,SNS-020,GasFlow,2.5,L/min,Good
TR-049,DEV-015,2024-10-15T08:15:00,SNS-020,GasFlow,2.8,L/min,Good
TR-050,DEV-015,2024-10-15T08:30:00,SNS-020,GasFlow,2.6,L/min,Good
