ReadingId,ServerId,Timestamp,CPUPercent,MemoryPercent,DiskIOPS,NetworkMbps,QualityFlag,IsAnomaly
TR-001,SRV-001,2024-10-01T08:00:00,35.2,62.1,1200,450,Good,false
TR-002,SRV-001,2024-10-01T08:15:00,38.5,63.0,1350,480,Good,false
TR-003,SRV-001,2024-10-01T08:30:00,42.1,64.5,1500,520,Good,false
TR-004,SRV-003,2024-10-01T08:00:00,55.0,72.3,2200,890,Good,false
TR-005,SRV-003,2024-10-01T08:15:00,58.2,73.1,2400,920,Good,false
TR-006,SRV-005,2024-10-01T08:00:00,45.0,68.5,8500,200,Good,false
TR-007,SRV-005,2024-10-01T08:15:00,48.0,69.2,9200,210,Good,false
TR-008,SRV-005,2024-10-01T08:30:00,82.0,75.0,15000,250,Suspect,false
TR-009,SRV-005,2024-10-01T08:45:00,98.5,88.0,18000,180,Bad,true
TR-010,SRV-007,2024-10-01T08:00:00,78.0,85.2,5000,1200,Good,false
TR-011,SRV-007,2024-10-01T08:15:00,82.0,86.5,5200,1250,Good,false
TR-012,SRV-009,2024-10-01T08:00:00,22.0,45.0,800,350,Good,false
TR-013,SRV-014,2024-10-01T08:00:00,30.0,55.0,600,150,Good,false
TR-014,SRV-014,2024-10-01T08:15:00,32.0,56.0,650,160,Good,false
TR-015,SRV-013,2024-10-01T08:00:00,15.0,40.0,2500,80,Good,false
"TR-016","SRV-007","2024-10-01T16:00:00","64.3","55.6","3707","929","Good","false"
"TR-017","SRV-007","2024-10-01T18:00:00","68.8","62.4","2590","1467","Good","false"
"TR-018","SRV-007","2024-10-01T14:00:00","49.7","43.7","804","2183","Good","false"
"TR-019","SRV-007","2024-10-01T09:45:00","35.1","43","1529","1621","Good","false"
"TR-020","SRV-010","2024-10-01T20:00:00","65.4","52","3994","274","Good","false"
"TR-021","SRV-010","2024-10-01T10:30:00","24","65.6","3973","1083","Good","false"
"TR-022","SRV-010","2024-10-01T10:00:00","94.3","74.1","2898","622","Degraded","true"
"TR-023","SRV-010","2024-10-01T14:00:00","17.4","49.5","1144","439","Good","false"
"TR-024","SRV-003","2024-10-01T10:15:00","85","42","2749","635","Good","false"
"TR-025","SRV-003","2024-10-01T09:00:00","50.1","77.1","4496","1978","Good","false"
"TR-026","SRV-003","2024-10-01T20:00:00","60.6","65.3","4248","69","Good","false"
"TR-027","SRV-003","2024-10-01T14:00:00","59.6","44","1565","86","Good","false"
"TR-028","SRV-011","2024-10-01T18:00:00","21.5","88.3","1077","806","Degraded","true"
"TR-029","SRV-011","2024-10-01T09:00:00","43.1","34.6","1265","608","Good","false"
"TR-030","SRV-011","2024-10-01T10:15:00","19.6","47.8","4271","2469","Good","false"
"TR-031","SRV-011","2024-10-01T09:45:00","78.7","36.9","3183","87","Good","false"
"TR-032","SRV-015","2024-10-01T09:30:00","16.7","51.4","3474","1903","Good","false"
"TR-033","SRV-015","2024-10-01T16:00:00","41.1","41.1","2235","945","Good","false"
