BatchId,LineId,ProductId,StartTime,EndTime,QuantityProduced,DefectRate,EnergyUsedKWh,Status
BAT-001,LN-001,PRD-002,2024-01-10T06:00:00,2024-01-10T14:00:00,85,0.012,1200,Completed
BAT-002,LN-002,PRD-001,2024-01-10T06:00:00,2024-01-10T14:00:00,60,0.008,1800,Completed
BAT-003,LN-004,PRD-003,2024-01-11T06:00:00,2024-01-11T14:00:00,1400,0.005,950,Completed
BAT-004,LN-006,PRD-004,2024-01-12T06:00:00,2024-01-12T14:00:00,3500,0.003,680,Completed
BAT-005,LN-008,PRD-005,2024-01-15T06:00:00,2024-01-15T14:00:00,2400,0.015,1100,Completed
BAT-006,LN-010,PRD-006,2024-01-16T06:00:00,2024-01-16T14:00:00,280,0.007,520,Completed
BAT-007,LN-001,PRD-002,2024-01-17T06:00:00,2024-01-17T14:00:00,90,0.011,1250,Completed
BAT-008,LN-003,PRD-002,2024-01-17T14:00:00,2024-01-17T22:00:00,70,0.014,900,Completed
BAT-009,LN-007,PRD-008,2024-01-18T06:00:00,2024-01-18T14:00:00,3200,0.004,610,Completed
BAT-010,LN-004,PRD-007,2024-01-20T06:00:00,2024-01-20T14:00:00,1200,0.006,980,Completed
BAT-011,LN-009,PRD-005,2024-01-22T06:00:00,2024-01-22T14:00:00,1800,0.010,750,Completed
BAT-012,LN-002,PRD-001,2024-01-25T06:00:00,2024-01-25T14:00:00,55,0.018,1900,Completed
BAT-013,LN-006,PRD-004,2024-02-01T06:00:00,2024-02-01T14:00:00,3600,0.002,690,Completed
BAT-014,LN-008,PRD-005,2024-02-05T06:00:00,2024-02-05T14:00:00,2500,0.012,1080,Completed
BAT-015,LN-001,PRD-002,2024-02-10T06:00:00,2024-02-10T14:00:00,88,0.009,1180,Completed
