ReadingId,SensorId,Timestamp,ReadingValue,QualityFlag,IsAnomaly
TR-001,SNS-001,2024-10-01T08:00:00,850.0,Good,false
TR-002,SNS-001,2024-10-01T08:15:00,860.0,Good,false
TR-003,SNS-001,2024-10-01T08:30:00,870.0,Good,false
TR-004,SNS-002,2024-10-01T08:00:00,185.0,Good,false
TR-005,SNS-002,2024-10-01T08:15:00,190.0,Good,false
TR-006,SNS-005,2024-10-01T08:00:00,450.0,Good,false
TR-007,SNS-005,2024-10-01T08:15:00,455.0,Good,false
TR-008,SNS-005,2024-10-01T08:30:00,480.0,Good,false
TR-009,SNS-009,2024-10-01T08:00:00,2.1,Good,false
TR-010,SNS-009,2024-10-01T08:15:00,2.3,Good,false
TR-011,SNS-009,2024-10-01T08:30:00,2.5,Good,false
TR-012,SNS-009,2024-10-01T08:45:00,8.5,Suspect,false
TR-013,SNS-009,2024-10-01T09:00:00,15.2,Bad,true
TR-014,SNS-013,2024-10-01T08:00:00,245.0,Good,false
TR-015,SNS-013,2024-10-01T08:15:00,248.0,Good,false
TR-016,SNS-015,2024-10-01T08:00:00,1800.0,Good,false
TR-017,SNS-015,2024-10-01T08:15:00,1850.0,Good,false
TR-018,SNS-015,2024-10-01T08:30:00,1820.0,Good,false
TR-019,SNS-019,2024-10-01T08:00:00,180.0,Good,false
TR-020,SNS-019,2024-10-01T08:15:00,182.0,Good,false
"TR-021","SNS-017","2024-10-01T10:30:00","456.7","Good","false"
"TR-022","SNS-017","2024-10-01T10:00:00","1138.8","Good","false"
"TR-023","SNS-017","2024-10-01T18:00:00","1791.3","Good","false"
"TR-024","SNS-011","2024-10-01T20:00:00","540.8","Good","false"
"TR-025","SNS-011","2024-10-01T18:00:00","1765","Good","false"
"TR-026","SNS-011","2024-10-01T09:30:00","144.2","Good","false"
"TR-027","SNS-006","2024-10-01T10:30:00","1945.1","Good","false"
"TR-028","SNS-006","2024-10-01T16:00:00","1180.6","Good","false"
"TR-029","SNS-006","2024-10-01T09:30:00","504.4","Suspect","true"
"TR-030","SNS-014","2024-10-01T14:00:00","1413","Good","false"
"TR-031","SNS-014","2024-10-01T10:15:00","226.7","Good","false"
"TR-032","SNS-014","2024-10-01T09:30:00","1376.3","Good","false"
"TR-033","SNS-020","2024-10-01T09:15:00","811.6","Good","false"
"TR-034","SNS-020","2024-10-01T10:00:00","1037.4","Good","false"
"TR-035","SNS-020","2024-10-01T09:00:00","590.5","Good","false"
"TR-036","SNS-001","2024-10-01T20:00:00","910.1","Good","false"
"TR-037","SNS-001","2024-10-01T12:00:00","342.7","Good","false"
"TR-038","SNS-001","2024-10-01T10:30:00","1065.4","Good","false"
"TR-039","SNS-010","2024-10-01T09:15:00","766.5","Good","false"
"TR-040","SNS-010","2024-10-01T20:00:00","1075.7","Good","false"
"TR-041","SNS-010","2024-10-01T09:30:00","1335.2","Good","false"
"TR-042","SNS-009","2024-10-01T16:00:00","230.9","Good","false"
"TR-043","SNS-009","2024-10-01T09:45:00","872.4","Good","false"
"TR-044","SNS-009","2024-10-01T20:00:00","1591.2","Suspect","true"
"TR-045","SNS-003","2024-10-01T14:00:00","1720.5","Good","false"
"TR-046","SNS-003","2024-10-01T09:00:00","1803.9","Good","false"
"TR-047","SNS-003","2024-10-01T18:00:00","1565.5","Good","false"
"TR-048","SNS-013","2024-10-01T09:45:00","1952.5","Good","false"
"TR-049","SNS-013","2024-10-01T09:30:00","1319.6","Good","false"
"TR-050","SNS-013","2024-10-01T10:30:00","1903","Good","false"
"TR-051","SNS-020","2024-10-02T10:15:00","1848.2","Good","false"
"TR-052","SNS-020","2024-10-02T09:00:00","858.8","Good","false"
"TR-053","SNS-020","2024-10-02T10:30:00","904.3","Good","false"
"TR-054","SNS-011","2024-10-02T18:00:00","495.7","Good","false"
"TR-055","SNS-011","2024-10-02T10:15:00","190.3","Good","false"
"TR-056","SNS-011","2024-10-02T09:30:00","412.1","Good","false"
"TR-057","SNS-001","2024-10-02T10:00:00","236","Good","false"
"TR-058","SNS-001","2024-10-02T09:45:00","897.4","Good","false"
"TR-059","SNS-001","2024-10-02T09:00:00","723.4","Good","false"
"TR-060","SNS-002","2024-10-02T09:45:00","429","Good","false"
"TR-061","SNS-002","2024-10-02T20:00:00","1598.5","Good","false"
"TR-062","SNS-002","2024-10-02T16:00:00","782.2","Suspect","true"
"TR-063","SNS-017","2024-10-02T09:00:00","1283.9","Good","false"
"TR-064","SNS-017","2024-10-02T09:15:00","674.5","Good","false"
"TR-065","SNS-017","2024-10-02T16:00:00","1962.1","Good","false"
"TR-066","SNS-012","2024-10-02T18:00:00","838.4","Good","false"
"TR-067","SNS-012","2024-10-02T10:30:00","1147.7","Suspect","true"
"TR-068","SNS-012","2024-10-02T12:00:00","1654.2","Good","false"
"TR-069","SNS-006","2024-10-02T09:45:00","674","Good","false"
"TR-070","SNS-006","2024-10-02T09:00:00","1571.3","Suspect","true"
"TR-071","SNS-006","2024-10-02T09:30:00","248.9","Good","false"
"TR-072","SNS-010","2024-10-02T09:15:00","1494.6","Good","false"
"TR-073","SNS-010","2024-10-02T16:00:00","1293.1","Good","false"
"TR-074","SNS-010","2024-10-02T09:30:00","1015","Suspect","true"
"TR-075","SNS-018","2024-10-02T20:00:00","1972.3","Good","false"
"TR-076","SNS-018","2024-10-02T09:00:00","1982.4","Good","false"
"TR-077","SNS-018","2024-10-02T14:00:00","765.5","Good","false"
"TR-078","SNS-004","2024-10-02T09:00:00","174.7","Good","false"
"TR-079","SNS-004","2024-10-02T12:00:00","615.4","Suspect","true"
"TR-080","SNS-004","2024-10-02T10:00:00","1064.2","Good","false"
"TR-081","SNS-004","2024-10-03T20:00:00","1724.8","Suspect","true"
"TR-082","SNS-004","2024-10-03T09:30:00","323.5","Good","false"
"TR-083","SNS-004","2024-10-03T14:00:00","1606.4","Good","false"
"TR-084","SNS-002","2024-10-03T14:00:00","1382.7","Good","false"
"TR-085","SNS-002","2024-10-03T09:00:00","1870.4","Good","false"
"TR-086","SNS-002","2024-10-03T10:30:00","1740.2","Suspect","true"
"TR-087","SNS-010","2024-10-03T16:00:00","677.6","Good","false"
"TR-088","SNS-010","2024-10-03T09:15:00","1386.3","Good","false"
"TR-089","SNS-010","2024-10-03T09:00:00","231.6","Good","false"
"TR-090","SNS-015","2024-10-03T20:00:00","1694.1","Good","false"
"TR-091","SNS-015","2024-10-03T10:15:00","116.9","Good","false"
"TR-092","SNS-015","2024-10-03T10:00:00","274.3","Good","false"
"TR-093","SNS-011","2024-10-03T14:00:00","121.3","Good","false"
"TR-094","SNS-011","2024-10-03T10:30:00","211.9","Good","false"
"TR-095","SNS-011","2024-10-03T12:00:00","1823.3","Good","false"
"TR-096","SNS-001","2024-10-03T09:45:00","530","Good","false"
"TR-097","SNS-001","2024-10-03T10:15:00","425.3","Good","false"
"TR-098","SNS-001","2024-10-03T12:00:00","323","Good","false"
"TR-099","SNS-009","2024-10-03T18:00:00","1816.2","Good","false"
"TR-100","SNS-009","2024-10-03T10:30:00","976","Good","false"
"TR-101","SNS-009","2024-10-03T09:15:00","1589.5","Good","false"
"TR-102","SNS-012","2024-10-03T18:00:00","934.2","Good","false"
"TR-103","SNS-012","2024-10-03T10:00:00","295.2","Good","false"
"TR-104","SNS-012","2024-10-03T10:30:00","1298.6","Good","false"
"TR-105","SNS-013","2024-10-03T16:00:00","1356.7","Good","false"
"TR-106","SNS-013","2024-10-03T14:00:00","391.2","Good","false"
"TR-107","SNS-013","2024-10-03T10:30:00","735.1","Good","false"
"TR-108","SNS-019","2024-10-03T18:00:00","1501","Good","false"
"TR-109","SNS-019","2024-10-03T10:00:00","885.3","Good","false"
"TR-110","SNS-019","2024-10-03T16:00:00","1954.5","Good","false"
"TR-111","SNS-012","2024-10-04T12:00:00","1548.9","Good","false"
"TR-112","SNS-012","2024-10-04T16:00:00","1267.9","Good","false"
"TR-113","SNS-012","2024-10-04T10:15:00","751","Good","false"
"TR-114","SNS-008","2024-10-04T09:00:00","1906","Good","false"
