Timestamp,ProcessUnitId,SensorId,SensorType,Value,Unit,Quality
2025-12-01T06:00:00,PU001,SN001-THR,Throughput,206.5,kbd,Good
2025-12-01T06:00:00,PU001,SN001-FDR,FeedRate,243.5,kbd,Good
2025-12-01T06:00:00,PU001,SN001-TMP,UnitTemp,463.4,degC,Good
2025-12-01T06:00:00,PU001,SN001-UTL,Utilization,87,pct,Good
2025-12-01T12:00:00,PU001,SN001-THR,Throughput,259.8,kbd,Good
2025-12-01T12:00:00,PU001,SN001-FDR,FeedRate,271.7,kbd,Good
2025-12-01T12:00:00,PU001,SN001-TMP,UnitTemp,479.9,degC,Good
2025-12-01T12:00:00,PU001,SN001-UTL,Utilization,97,pct,Good
2025-12-01T18:00:00,PU001,SN001-THR,Throughput,175.3,kbd,Good
2025-12-01T18:00:00,PU001,SN001-FDR,FeedRate,189.3,kbd,Good
2025-12-01T18:00:00,PU001,SN001-TMP,UnitTemp,442.5,degC,Good
2025-12-01T18:00:00,PU001,SN001-UTL,Utilization,67.6,pct,Good
2025-12-01T06:00:00,PU002,SN002-THR,Throughput,157.2,kbd,Good
2025-12-01T06:00:00,PU002,SN002-FDR,FeedRate,172,kbd,Good
2025-12-01T06:00:00,PU002,SN002-TMP,UnitTemp,438,degC,Good
2025-12-01T06:00:00,PU002,SN002-UTL,Utilization,63.7,pct,Good
2025-12-01T12:00:00,PU002,SN002-THR,Throughput,157.6,kbd,Good
2025-12-01T12:00:00,PU002,SN002-FDR,FeedRate,189.8,kbd,Good
2025-12-01T12:00:00,PU002,SN002-TMP,UnitTemp,450.1,degC,Good
2025-12-01T12:00:00,PU002,SN002-UTL,Utilization,70.3,pct,Good
2025-12-01T18:00:00,PU002,SN002-THR,Throughput,217.6,kbd,Good
2025-12-01T18:00:00,PU002,SN002-FDR,FeedRate,230.8,kbd,Good
2025-12-01T18:00:00,PU002,SN002-TMP,UnitTemp,432.1,degC,Good
2025-12-01T18:00:00,PU002,SN002-UTL,Utilization,85.5,pct,Good
2025-12-01T06:00:00,PU003,SN003-THR,Throughput,113.4,kbd,Good
2025-12-01T06:00:00,PU003,SN003-FDR,FeedRate,121.7,kbd,Good
2025-12-01T06:00:00,PU003,SN003-TMP,UnitTemp,444.8,degC,Good
2025-12-01T06:00:00,PU003,SN003-UTL,Utilization,81.1,pct,Good
2025-12-01T12:00:00,PU003,SN003-THR,Throughput,100.1,kbd,Good
2025-12-01T12:00:00,PU003,SN003-FDR,FeedRate,117.8,kbd,Good
2025-12-01T12:00:00,PU003,SN003-TMP,UnitTemp,445.4,degC,Good
2025-12-01T12:00:00,PU003,SN003-UTL,Utilization,78.5,pct,Good
2025-12-01T18:00:00,PU003,SN003-THR,Throughput,120.1,kbd,Good
2025-12-01T18:00:00,PU003,SN003-FDR,FeedRate,135.4,kbd,Good
2025-12-01T18:00:00,PU003,SN003-TMP,UnitTemp,467.7,degC,Good
2025-12-01T18:00:00,PU003,SN003-UTL,Utilization,90.2,pct,Good
2025-12-01T06:00:00,PU004,SN004-THR,Throughput,84,kbd,Good
2025-12-01T06:00:00,PU004,SN004-FDR,FeedRate,100.4,kbd,Good
2025-12-01T06:00:00,PU004,SN004-TMP,UnitTemp,435.7,degC,Good
2025-12-01T06:00:00,PU004,SN004-UTL,Utilization,83.7,pct,Good
2025-12-01T12:00:00,PU004,SN004-THR,Throughput,78.8,kbd,Good
2025-12-01T12:00:00,PU004,SN004-FDR,FeedRate,84.2,kbd,Good
2025-12-01T12:00:00,PU004,SN004-TMP,UnitTemp,419.6,degC,Good
