ReadingId,SensorId,Timestamp,ReadingValue,QualityFlag,IsAnomaly
TR-001,SNS-001,2024-10-01T08:00:00,72.1,Good,false
TR-002,SNS-001,2024-10-01T08:15:00,72.3,Good,false
TR-003,SNS-001,2024-10-01T08:30:00,73.0,Good,false
TR-004,SNS-001,2024-10-01T08:45:00,73.5,Good,false
TR-005,SNS-001,2024-10-01T09:00:00,74.2,Good,false
TR-006,SNS-002,2024-10-01T08:00:00,420,Good,false
TR-007,SNS-002,2024-10-01T08:15:00,480,Good,false
TR-008,SNS-002,2024-10-01T08:30:00,650,Good,false
TR-009,SNS-002,2024-10-01T08:45:00,890,Good,false
TR-010,SNS-002,2024-10-01T09:00:00,1050,Good,false
TR-011,SNS-003,2024-10-01T08:00:00,5,Good,false
TR-012,SNS-003,2024-10-01T08:15:00,12,Good,false
TR-013,SNS-003,2024-10-01T08:30:00,28,Good,false
TR-014,SNS-003,2024-10-01T08:45:00,35,Good,false
TR-015,SNS-003,2024-10-01T09:00:00,42,Good,false
TR-016,SNS-005,2024-10-01T08:00:00,71.8,Good,false
TR-017,SNS-005,2024-10-01T08:15:00,72.0,Good,false
TR-018,SNS-005,2024-10-01T08:30:00,72.5,Good,false
TR-019,SNS-006,2024-10-01T08:00:00,42.5,Good,false
TR-020,SNS-006,2024-10-01T08:15:00,43.0,Good,false
TR-021,SNS-013,2024-10-01T08:00:00,70.5,Good,false
TR-022,SNS-013,2024-10-01T08:15:00,71.0,Good,false
TR-023,SNS-013,2024-10-01T08:30:00,71.8,Good,false
TR-024,SNS-017,2024-10-01T08:00:00,68.0,Good,false
TR-025,SNS-017,2024-10-01T08:15:00,68.5,Good,false
TR-026,SNS-017,2024-10-01T08:30:00,69.2,Good,false
TR-027,SNS-017,2024-10-01T08:45:00,72.0,Good,false
TR-028,SNS-017,2024-10-01T09:00:00,85.0,Suspect,true
TR-029,SNS-017,2024-10-01T09:15:00,91.0,Bad,true
TR-030,SNS-021,2024-10-01T08:00:00,72.0,Good,false
TR-031,SNS-021,2024-10-01T08:15:00,72.2,Good,false
TR-032,SNS-021,2024-10-01T08:30:00,72.1,Good,false
TR-033,SNS-024,2024-10-01T08:00:00,8,Good,false
TR-034,SNS-024,2024-10-01T08:15:00,15,Good,false
TR-035,SNS-024,2024-10-01T08:30:00,22,Good,false
"TR-036","SNS-010","2024-10-01T14:00:00","68.1","Suspect","true"
"TR-037","SNS-010","2024-10-01T20:00:00","39.6","Good","false"
"TR-038","SNS-010","2024-10-01T12:00:00","78.2","Good","false"
"TR-039","SNS-014","2024-10-01T14:00:00","42.8","Good","false"
"TR-040","SNS-014","2024-10-01T10:15:00","22.9","Good","false"
"TR-041","SNS-014","2024-10-01T09:30:00","71.1","Good","false"
"TR-042","SNS-013","2024-10-01T09:45:00","46.4","Good","false"
"TR-043","SNS-013","2024-10-01T20:00:00","32.6","Good","false"
"TR-044","SNS-013","2024-10-01T09:30:00","57.6","Good","false"
"TR-045","SNS-011","2024-10-01T18:00:00","27.9","Good","false"
"TR-046","SNS-011","2024-10-01T10:00:00","20","Good","false"
"TR-047","SNS-011","2024-10-01T09:30:00","41.7","Good","false"
"TR-048","SNS-030","2024-10-01T20:00:00","29.8","Good","false"
"TR-049","SNS-030","2024-10-01T16:00:00","23","Good","false"
"TR-050","SNS-030","2024-10-01T09:45:00","27.1","Good","false"
"TR-051","SNS-009","2024-10-01T09:45:00","54.1","Good","false"
"TR-052","SNS-009","2024-10-01T10:15:00","40.1","Good","false"
"TR-053","SNS-009","2024-10-01T14:00:00","56.5","Good","false"
"TR-054","SNS-026","2024-10-01T20:00:00","61.7","Good","false"
