ProductionId,ArrayId
EP-00001,CESTAS-PV-01
EP-00002,CESTAS-PV-01
EP-00003,CESTAS-PV-01
EP-00004,CESTAS-PV-01
EP-00005,CESTAS-PV-01
EP-00006,CESTAS-PV-02
EP-00007,CESTAS-PV-02
EP-00008,CESTAS-PV-02
EP-00009,CESTAS-PV-02
EP-00010,CESTAS-PV-02
EP-00011,CESTAS-PV-03
EP-00012,CESTAS-PV-03
EP-00013,CESTAS-PV-03
EP-00014,CESTAS-PV-03
EP-00015,CESTAS-PV-03
EP-00016,CESTAS-PV-04
EP-00017,CESTAS-PV-04
EP-00018,CESTAS-PV-04
EP-00019,CESTAS-PV-04
EP-00020,CESTAS-PV-04
EP-00021,CESTAS-PV-05
EP-00022,CESTAS-PV-05
EP-00023,CESTAS-PV-05
EP-00024,CESTAS-PV-05
EP-00025,CESTAS-PV-05
EP-00026,CESTAS-PV-06
EP-00027,CESTAS-PV-06
EP-00028,CESTAS-PV-06
EP-00029,CESTAS-PV-06
EP-00030,CESTAS-PV-06
EP-00031,CESTAS-PV-07
EP-00032,CESTAS-PV-07
EP-00033,CESTAS-PV-07
EP-00034,CESTAS-PV-07
EP-00035,CESTAS-PV-07
EP-00036,CESTAS-PV-08
EP-00037,CESTAS-PV-08
EP-00038,CESTAS-PV-08
EP-00039,CESTAS-PV-08
EP-00040,CESTAS-PV-08
EP-00041,MARVILLE-PV-01
EP-00042,MARVILLE-PV-01
EP-00043,MARVILLE-PV-01
EP-00044,MARVILLE-PV-01
EP-00045,MARVILLE-PV-01
EP-00046,MARVILLE-PV-02
EP-00047,MARVILLE-PV-02
EP-00048,MARVILLE-PV-02
EP-00049,MARVILLE-PV-02
EP-00050,MARVILLE-PV-02
EP-00051,MARVILLE-PV-03
EP-00052,MARVILLE-PV-03
EP-00053,MARVILLE-PV-03
EP-00054,MARVILLE-PV-03
EP-00055,MARVILLE-PV-03
EP-00056,MARVILLE-PV-04
EP-00057,MARVILLE-PV-04
EP-00058,MARVILLE-PV-04
EP-00059,MARVILLE-PV-04
EP-00060,MARVILLE-PV-04
EP-00061,MARVILLE-PV-05
EP-00062,MARVILLE-PV-05
EP-00063,MARVILLE-PV-05
EP-00064,MARVILLE-PV-05
EP-00065,MARVILLE-PV-05
EP-00066,MARVILLE-PV-06
EP-00067,MARVILLE-PV-06
EP-00068,MARVILLE-PV-06
EP-00069,MARVILLE-PV-06
EP-00070,MARVILLE-PV-06
EP-00071,MARVILLE-PV-07
EP-00072,MARVILLE-PV-07
EP-00073,MARVILLE-PV-07
EP-00074,MARVILLE-PV-07
EP-00075,MARVILLE-PV-07
EP-00076,TOUL-PV-01
EP-00077,TOUL-PV-01
EP-00078,TOUL-PV-01
EP-00079,TOUL-PV-01
EP-00080,TOUL-PV-01
EP-00081,TOUL-PV-02
EP-00082,TOUL-PV-02
EP-00083,TOUL-PV-02
EP-00084,TOUL-PV-02
EP-00085,TOUL-PV-02
EP-00086,TOUL-PV-03
EP-00087,TOUL-PV-03
EP-00088,TOUL-PV-03
EP-00089,TOUL-PV-03
EP-00090,TOUL-PV-03
EP-00091,TOUL-PV-04
EP-00092,TOUL-PV-04
EP-00093,TOUL-PV-04
EP-00094,TOUL-PV-04
EP-00095,TOUL-PV-04
EP-00096,TOUL-PV-05
EP-00097,TOUL-PV-05
EP-00098,TOUL-PV-05
EP-00099,TOUL-PV-05
EP-00100,TOUL-PV-05
EP-00101,TOUL-PV-06
EP-00102,TOUL-PV-06
EP-00103,TOUL-PV-06
EP-00104,TOUL-PV-06
EP-00105,TOUL-PV-06
EP-00106,MEES-PV-01
EP-00107,MEES-PV-01
EP-00108,MEES-PV-01
EP-00109,MEES-PV-01
EP-00110,MEES-PV-01
EP-00111,MEES-PV-02
EP-00112,MEES-PV-02
EP-00113,MEES-PV-02
EP-00114,MEES-PV-02
EP-00115,MEES-PV-02
EP-00116,MEES-PV-03
EP-00117,MEES-PV-03
EP-00118,MEES-PV-03
EP-00119,MEES-PV-03
EP-00120,MEES-PV-03
EP-00121,MEES-PV-04
EP-00122,MEES-PV-04
EP-00123,MEES-PV-04
EP-00124,MEES-PV-04
EP-00125,MEES-PV-04
EP-00126,MEES-PV-05
EP-00127,MEES-PV-05
EP-00128,MEES-PV-05
EP-00129,MEES-PV-05
EP-00130,MEES-PV-05
EP-00131,MEES-PV-06
EP-00132,MEES-PV-06
EP-00133,MEES-PV-06
EP-00134,MEES-PV-06
EP-00135,MEES-PV-06
EP-00136,GABARDAN-PV-01
EP-00137,GABARDAN-PV-01
EP-00138,GABARDAN-PV-01
EP-00139,GABARDAN-PV-01
EP-00140,GABARDAN-PV-01
EP-00141,GABARDAN-PV-02
EP-00142,GABARDAN-PV-02
EP-00143,GABARDAN-PV-02
EP-00144,GABARDAN-PV-02
EP-00145,GABARDAN-PV-02
EP-00146,GABARDAN-PV-03
EP-00147,GABARDAN-PV-03
EP-00148,GABARDAN-PV-03
EP-00149,GABARDAN-PV-03
EP-00150,GABARDAN-PV-03
EP-00151,GABARDAN-PV-04
EP-00152,GABARDAN-PV-04
EP-00153,GABARDAN-PV-04
EP-00154,GABARDAN-PV-04
EP-00155,GABARDAN-PV-04
EP-00156,GABARDAN-PV-05
EP-00157,GABARDAN-PV-05
EP-00158,GABARDAN-PV-05
EP-00159,GABARDAN-PV-05
EP-00160,GABARDAN-PV-05
EP-00161,MASSANGIS-PV-01
EP-00162,MASSANGIS-PV-01
EP-00163,MASSANGIS-PV-01
EP-00164,MASSANGIS-PV-01
EP-00165,MASSANGIS-PV-01
EP-00166,MASSANGIS-PV-02
EP-00167,MASSANGIS-PV-02
EP-00168,MASSANGIS-PV-02
EP-00169,MASSANGIS-PV-02
EP-00170,MASSANGIS-PV-02
EP-00171,MASSANGIS-PV-03
EP-00172,MASSANGIS-PV-03
EP-00173,MASSANGIS-PV-03
EP-00174,MASSANGIS-PV-03
EP-00175,MASSANGIS-PV-03
EP-00176,MASSANGIS-PV-04
EP-00177,MASSANGIS-PV-04
EP-00178,MASSANGIS-PV-04
EP-00179,MASSANGIS-PV-04
EP-00180,MASSANGIS-PV-04
EP-00181,MASSANGIS-PV-05
EP-00182,MASSANGIS-PV-05
EP-00183,MASSANGIS-PV-05
EP-00184,MASSANGIS-PV-05
EP-00185,MASSANGIS-PV-05
