ArrayId,InverterId
CESTAS-PV-01,INV-CESTAS-PV-01
CESTAS-PV-02,INV-CESTAS-PV-02
CESTAS-PV-03,INV-CESTAS-PV-03
CESTAS-PV-04,INV-CESTAS-PV-04
CESTAS-PV-05,INV-CESTAS-PV-05
CESTAS-PV-06,INV-CESTAS-PV-06
CESTAS-PV-07,INV-CESTAS-PV-07
CESTAS-PV-08,INV-CESTAS-PV-08
MARVILLE-PV-01,INV-MARVILLE-PV-01
MARVILLE-PV-02,INV-MARVILLE-PV-02
MARVILLE-PV-03,INV-MARVILLE-PV-03
MARVILLE-PV-04,INV-MARVILLE-PV-04
MARVILLE-PV-05,INV-MARVILLE-PV-05
MARVILLE-PV-06,INV-MARVILLE-PV-06
MARVILLE-PV-07,INV-MARVILLE-PV-07
TOUL-PV-01,INV-TOUL-PV-01
TOUL-PV-02,INV-TOUL-PV-02
TOUL-PV-03,INV-TOUL-PV-03
TOUL-PV-04,INV-TOUL-PV-04
TOUL-PV-05,INV-TOUL-PV-05
TOUL-PV-06,INV-TOUL-PV-06
MEES-PV-01,INV-MEES-PV-01
MEES-PV-02,INV-MEES-PV-02
MEES-PV-03,INV-MEES-PV-03
MEES-PV-04,INV-MEES-PV-04
MEES-PV-05,INV-MEES-PV-05
MEES-PV-06,INV-MEES-PV-06
GABARDAN-PV-01,INV-GABARDAN-PV-01
GABARDAN-PV-02,INV-GABARDAN-PV-02
GABARDAN-PV-03,INV-GABARDAN-PV-03
GABARDAN-PV-04,INV-GABARDAN-PV-04
GABARDAN-PV-05,INV-GABARDAN-PV-05
MASSANGIS-PV-01,INV-MASSANGIS-PV-01
MASSANGIS-PV-02,INV-MASSANGIS-PV-02
MASSANGIS-PV-03,INV-MASSANGIS-PV-03
MASSANGIS-PV-04,INV-MASSANGIS-PV-04
MASSANGIS-PV-05,INV-MASSANGIS-PV-05
