ArrayId,SensorId
CESTAS-PV-01,SN-CESTAS-01-PWR
CESTAS-PV-01,SN-CESTAS-01-IRR
CESTAS-PV-01,SN-CESTAS-01-TMP
CESTAS-PV-01,SN-CESTAS-01-INV
CESTAS-PV-02,SN-CESTAS-02-PWR
CESTAS-PV-02,SN-CESTAS-02-IRR
CESTAS-PV-02,SN-CESTAS-02-TMP
CESTAS-PV-02,SN-CESTAS-02-INV
CESTAS-PV-03,SN-CESTAS-03-PWR
CESTAS-PV-03,SN-CESTAS-03-IRR
CESTAS-PV-03,SN-CESTAS-03-TMP
CESTAS-PV-03,SN-CESTAS-03-INV
CESTAS-PV-04,SN-CESTAS-04-PWR
CESTAS-PV-04,SN-CESTAS-04-IRR
CESTAS-PV-04,SN-CESTAS-04-TMP
CESTAS-PV-04,SN-CESTAS-04-INV
CESTAS-PV-05,SN-CESTAS-05-PWR
CESTAS-PV-05,SN-CESTAS-05-IRR
CESTAS-PV-05,SN-CESTAS-05-TMP
CESTAS-PV-05,SN-CESTAS-05-INV
CESTAS-PV-06,SN-CESTAS-06-PWR
CESTAS-PV-06,SN-CESTAS-06-IRR
CESTAS-PV-06,SN-CESTAS-06-TMP
CESTAS-PV-06,SN-CESTAS-06-INV
CESTAS-PV-07,SN-CESTAS-07-PWR
CESTAS-PV-07,SN-CESTAS-07-IRR
CESTAS-PV-07,SN-CESTAS-07-TMP
CESTAS-PV-07,SN-CESTAS-07-INV
CESTAS-PV-08,SN-CESTAS-08-PWR
CESTAS-PV-08,SN-CESTAS-08-IRR
CESTAS-PV-08,SN-CESTAS-08-TMP
CESTAS-PV-08,SN-CESTAS-08-INV
MARVILLE-PV-01,SN-MARVILLE-01-PWR
MARVILLE-PV-01,SN-MARVILLE-01-IRR
MARVILLE-PV-01,SN-MARVILLE-01-TMP
MARVILLE-PV-01,SN-MARVILLE-01-INV
MARVILLE-PV-02,SN-MARVILLE-02-PWR
MARVILLE-PV-02,SN-MARVILLE-02-IRR
MARVILLE-PV-02,SN-MARVILLE-02-TMP
MARVILLE-PV-02,SN-MARVILLE-02-INV
MARVILLE-PV-03,SN-MARVILLE-03-PWR
MARVILLE-PV-03,SN-MARVILLE-03-IRR
MARVILLE-PV-03,SN-MARVILLE-03-TMP
MARVILLE-PV-03,SN-MARVILLE-03-INV
MARVILLE-PV-04,SN-MARVILLE-04-PWR
MARVILLE-PV-04,SN-MARVILLE-04-IRR
MARVILLE-PV-04,SN-MARVILLE-04-TMP
MARVILLE-PV-04,SN-MARVILLE-04-INV
MARVILLE-PV-05,SN-MARVILLE-05-PWR
MARVILLE-PV-05,SN-MARVILLE-05-IRR
MARVILLE-PV-05,SN-MARVILLE-05-TMP
MARVILLE-PV-05,SN-MARVILLE-05-INV
MARVILLE-PV-06,SN-MARVILLE-06-PWR
MARVILLE-PV-06,SN-MARVILLE-06-IRR
MARVILLE-PV-06,SN-MARVILLE-06-TMP
MARVILLE-PV-06,SN-MARVILLE-06-INV
MARVILLE-PV-07,SN-MARVILLE-07-PWR
MARVILLE-PV-07,SN-MARVILLE-07-IRR
MARVILLE-PV-07,SN-MARVILLE-07-TMP
MARVILLE-PV-07,SN-MARVILLE-07-INV
TOUL-PV-01,SN-TOUL-01-PWR
TOUL-PV-01,SN-TOUL-01-IRR
TOUL-PV-01,SN-TOUL-01-TMP
TOUL-PV-01,SN-TOUL-01-INV
TOUL-PV-02,SN-TOUL-02-PWR
TOUL-PV-02,SN-TOUL-02-IRR
TOUL-PV-02,SN-TOUL-02-TMP
TOUL-PV-02,SN-TOUL-02-INV
TOUL-PV-03,SN-TOUL-03-PWR
TOUL-PV-03,SN-TOUL-03-IRR
TOUL-PV-03,SN-TOUL-03-TMP
TOUL-PV-03,SN-TOUL-03-INV
TOUL-PV-04,SN-TOUL-04-PWR
TOUL-PV-04,SN-TOUL-04-IRR
TOUL-PV-04,SN-TOUL-04-TMP
TOUL-PV-04,SN-TOUL-04-INV
TOUL-PV-05,SN-TOUL-05-PWR
TOUL-PV-05,SN-TOUL-05-IRR
TOUL-PV-05,SN-TOUL-05-TMP
TOUL-PV-05,SN-TOUL-05-INV
TOUL-PV-06,SN-TOUL-06-PWR
TOUL-PV-06,SN-TOUL-06-IRR
TOUL-PV-06,SN-TOUL-06-TMP
TOUL-PV-06,SN-TOUL-06-INV
MEES-PV-01,SN-MEES-01-PWR
MEES-PV-01,SN-MEES-01-IRR
MEES-PV-01,SN-MEES-01-TMP
MEES-PV-01,SN-MEES-01-INV
MEES-PV-02,SN-MEES-02-PWR
MEES-PV-02,SN-MEES-02-IRR
MEES-PV-02,SN-MEES-02-TMP
MEES-PV-02,SN-MEES-02-INV
MEES-PV-03,SN-MEES-03-PWR
MEES-PV-03,SN-MEES-03-IRR
MEES-PV-03,SN-MEES-03-TMP
MEES-PV-03,SN-MEES-03-INV
MEES-PV-04,SN-MEES-04-PWR
MEES-PV-04,SN-MEES-04-IRR
MEES-PV-04,SN-MEES-04-TMP
MEES-PV-04,SN-MEES-04-INV
MEES-PV-05,SN-MEES-05-PWR
MEES-PV-05,SN-MEES-05-IRR
MEES-PV-05,SN-MEES-05-TMP
MEES-PV-05,SN-MEES-05-INV
MEES-PV-06,SN-MEES-06-PWR
MEES-PV-06,SN-MEES-06-IRR
MEES-PV-06,SN-MEES-06-TMP
MEES-PV-06,SN-MEES-06-INV
GABARDAN-PV-01,SN-GABARDAN-01-PWR
GABARDAN-PV-01,SN-GABARDAN-01-IRR
GABARDAN-PV-01,SN-GABARDAN-01-TMP
GABARDAN-PV-01,SN-GABARDAN-01-INV
GABARDAN-PV-02,SN-GABARDAN-02-PWR
GABARDAN-PV-02,SN-GABARDAN-02-IRR
GABARDAN-PV-02,SN-GABARDAN-02-TMP
GABARDAN-PV-02,SN-GABARDAN-02-INV
GABARDAN-PV-03,SN-GABARDAN-03-PWR
GABARDAN-PV-03,SN-GABARDAN-03-IRR
GABARDAN-PV-03,SN-GABARDAN-03-TMP
GABARDAN-PV-03,SN-GABARDAN-03-INV
GABARDAN-PV-04,SN-GABARDAN-04-PWR
GABARDAN-PV-04,SN-GABARDAN-04-IRR
GABARDAN-PV-04,SN-GABARDAN-04-TMP
GABARDAN-PV-04,SN-GABARDAN-04-INV
GABARDAN-PV-05,SN-GABARDAN-05-PWR
GABARDAN-PV-05,SN-GABARDAN-05-IRR
GABARDAN-PV-05,SN-GABARDAN-05-TMP
GABARDAN-PV-05,SN-GABARDAN-05-INV
MASSANGIS-PV-01,SN-MASSANGIS-01-PWR
MASSANGIS-PV-01,SN-MASSANGIS-01-IRR
MASSANGIS-PV-01,SN-MASSANGIS-01-TMP
MASSANGIS-PV-01,SN-MASSANGIS-01-INV
MASSANGIS-PV-02,SN-MASSANGIS-02-PWR
MASSANGIS-PV-02,SN-MASSANGIS-02-IRR
MASSANGIS-PV-02,SN-MASSANGIS-02-TMP
MASSANGIS-PV-02,SN-MASSANGIS-02-INV
MASSANGIS-PV-03,SN-MASSANGIS-03-PWR
MASSANGIS-PV-03,SN-MASSANGIS-03-IRR
MASSANGIS-PV-03,SN-MASSANGIS-03-TMP
MASSANGIS-PV-03,SN-MASSANGIS-03-INV
MASSANGIS-PV-04,SN-MASSANGIS-04-PWR
MASSANGIS-PV-04,SN-MASSANGIS-04-IRR
MASSANGIS-PV-04,SN-MASSANGIS-04-TMP
MASSANGIS-PV-04,SN-MASSANGIS-04-INV
MASSANGIS-PV-05,SN-MASSANGIS-05-PWR
MASSANGIS-PV-05,SN-MASSANGIS-05-IRR
MASSANGIS-PV-05,SN-MASSANGIS-05-TMP
MASSANGIS-PV-05,SN-MASSANGIS-05-INV
