PlantId,ArrayId
CESTAS,CESTAS-PV-01
CESTAS,CESTAS-PV-02
CESTAS,CESTAS-PV-03
CESTAS,CESTAS-PV-04
CESTAS,CESTAS-PV-05
CESTAS,CESTAS-PV-06
CESTAS,CESTAS-PV-07
CESTAS,CESTAS-PV-08
MARVILLE,MARVILLE-PV-01
MARVILLE,MARVILLE-PV-02
MARVILLE,MARVILLE-PV-03
MARVILLE,MARVILLE-PV-04
MARVILLE,MARVILLE-PV-05
MARVILLE,MARVILLE-PV-06
MARVILLE,MARVILLE-PV-07
TOUL,TOUL-PV-01
TOUL,TOUL-PV-02
TOUL,TOUL-PV-03
TOUL,TOUL-PV-04
TOUL,TOUL-PV-05
TOUL,TOUL-PV-06
MEES,MEES-PV-01
MEES,MEES-PV-02
MEES,MEES-PV-03
MEES,MEES-PV-04
MEES,MEES-PV-05
MEES,MEES-PV-06
GABARDAN,GABARDAN-PV-01
GABARDAN,GABARDAN-PV-02
GABARDAN,GABARDAN-PV-03
GABARDAN,GABARDAN-PV-04
GABARDAN,GABARDAN-PV-05
MASSANGIS,MASSANGIS-PV-01
MASSANGIS,MASSANGIS-PV-02
MASSANGIS,MASSANGIS-PV-03
MASSANGIS,MASSANGIS-PV-04
MASSANGIS,MASSANGIS-PV-05
