InverterId,InverterName,ArrayId,Manufacturer,RatedPowerKW,Efficiency,CoolingType,InstallDate,Status
INV-CESTAS-PV-01,Inverter 01,CESTAS-PV-01,SMA,36750,97.5,Forced Air,2015-04-15,Operational
INV-CESTAS-PV-02,Inverter 02,CESTAS-PV-02,Huawei,36750,97.6,Natural Convection,2015-04-15,Operational
INV-CESTAS-PV-03,Inverter 03,CESTAS-PV-03,Sungrow,36750,97.7,Forced Air,2015-04-15,Operational
INV-CESTAS-PV-04,Inverter 04,CESTAS-PV-04,FIMER,36750,97.8,Natural Convection,2015-04-15,Operational
INV-CESTAS-PV-05,Inverter 05,CESTAS-PV-05,SMA,36750,97.9,Forced Air,2015-04-15,Operational
INV-CESTAS-PV-06,Inverter 06,CESTAS-PV-06,Huawei,36750,98,Natural Convection,2015-04-15,Operational
INV-CESTAS-PV-07,Inverter 07,CESTAS-PV-07,Sungrow,36750,98.1,Forced Air,2015-04-15,Operational
INV-CESTAS-PV-08,Inverter 08,CESTAS-PV-08,FIMER,36750,98.2,Natural Convection,2015-04-15,Operational
INV-MARVILLE-PV-01,Inverter 01,MARVILLE-PV-01,SMA,21280,98.3,Forced Air,2018-04-15,Operational
INV-MARVILLE-PV-02,Inverter 02,MARVILLE-PV-02,Huawei,21280,98.4,Natural Convection,2018-04-15,Operational
INV-MARVILLE-PV-03,Inverter 03,MARVILLE-PV-03,Sungrow,21280,98.5,Forced Air,2018-04-15,Operational
INV-MARVILLE-PV-04,Inverter 04,MARVILLE-PV-04,FIMER,21280,98.6,Natural Convection,2018-04-15,Operational
INV-MARVILLE-PV-05,Inverter 05,MARVILLE-PV-05,SMA,21280,98.7,Forced Air,2018-04-15,Operational
INV-MARVILLE-PV-06,Inverter 06,MARVILLE-PV-06,Huawei,21280,98.8,Natural Convection,2018-04-15,Operational
INV-MARVILLE-PV-07,Inverter 07,MARVILLE-PV-07,Sungrow,21280,98.9,Forced Air,2018-04-15,Operational
INV-TOUL-PV-01,Inverter 01,TOUL-PV-01,FIMER,18783.4,99,Natural Convection,2012-04-15,Operational
INV-TOUL-PV-02,Inverter 02,TOUL-PV-02,SMA,18783.4,99.1,Forced Air,2012-04-15,Operational
INV-TOUL-PV-03,Inverter 03,TOUL-PV-03,Huawei,18783.4,99.2,Natural Convection,2012-04-15,Operational
INV-TOUL-PV-04,Inverter 04,TOUL-PV-04,Sungrow,18783.4,99.3,Forced Air,2012-04-15,Operational
INV-TOUL-PV-05,Inverter 05,TOUL-PV-05,FIMER,18783.4,99.4,Natural Convection,2012-04-15,Operational
INV-TOUL-PV-06,Inverter 06,TOUL-PV-06,SMA,18783.4,97.5,Forced Air,2012-04-15,Operational
INV-MEES-PV-01,Inverter 01,MEES-PV-01,Huawei,16333.4,97.6,Natural Convection,2011-04-15,Operational
INV-MEES-PV-02,Inverter 02,MEES-PV-02,Sungrow,16333.4,97.7,Forced Air,2011-04-15,Operational
INV-MEES-PV-03,Inverter 03,MEES-PV-03,FIMER,16333.4,97.8,Natural Convection,2011-04-15,Operational
INV-MEES-PV-04,Inverter 04,MEES-PV-04,SMA,16333.4,97.9,Forced Air,2011-04-15,Operational
INV-MEES-PV-05,Inverter 05,MEES-PV-05,Huawei,16333.4,98,Natural Convection,2011-04-15,Operational
INV-MEES-PV-06,Inverter 06,MEES-PV-06,Sungrow,16333.4,98.1,Forced Air,2011-04-15,Operational
INV-GABARDAN-PV-01,Inverter 01,GABARDAN-PV-01,FIMER,14896,98.2,Natural Convection,2016-04-15,Operational
INV-GABARDAN-PV-02,Inverter 02,GABARDAN-PV-02,SMA,14896,98.3,Forced Air,2016-04-15,Operational
INV-GABARDAN-PV-03,Inverter 03,GABARDAN-PV-03,Huawei,14896,98.4,Natural Convection,2016-04-15,Operational
INV-GABARDAN-PV-04,Inverter 04,GABARDAN-PV-04,Sungrow,14896,98.5,Forced Air,2016-04-15,Operational
INV-GABARDAN-PV-05,Inverter 05,GABARDAN-PV-05,FIMER,14896,98.6,Natural Convection,2016-04-15,Operational
INV-MASSANGIS-PV-01,Inverter 01,MASSANGIS-PV-01,SMA,10976,98.7,Forced Air,2012-04-15,Operational
INV-MASSANGIS-PV-02,Inverter 02,MASSANGIS-PV-02,Huawei,10976,98.8,Natural Convection,2012-04-15,Operational
INV-MASSANGIS-PV-03,Inverter 03,MASSANGIS-PV-03,Sungrow,10976,98.9,Forced Air,2012-04-15,Operational
INV-MASSANGIS-PV-04,Inverter 04,MASSANGIS-PV-04,FIMER,10976,99,Natural Convection,2012-04-15,Operational
INV-MASSANGIS-PV-05,Inverter 05,MASSANGIS-PV-05,SMA,10976,99.1,Forced Air,2012-04-15,Operational
