SensorId,SensorName,ArrayId,SensorType,Location,Unit,MinThreshold,MaxThreshold,InstallDate,Status
SN-CESTAS-01-PWR,AC Power Meter 01,CESTAS-PV-01,AcPower,Inverter Output,kW,0,39375,2015-04-15,Operational
SN-CESTAS-01-IRR,Pyranometer 01,CESTAS-PV-01,Irradiance,Array Plane,W/m2,0,1200,2015-04-15,Operational
SN-CESTAS-01-TMP,Module Temp Sensor 01,CESTAS-PV-01,ModuleTemp,Module Backsheet,degC,-20,85,2015-04-15,Operational
SN-CESTAS-01-INV,Inverter Load Sensor 01,CESTAS-PV-01,InverterLoad,Inverter,pct,0,100,2015-04-15,Operational
SN-CESTAS-02-PWR,AC Power Meter 02,CESTAS-PV-02,AcPower,Inverter Output,kW,0,39375,2015-04-15,Operational
SN-CESTAS-02-IRR,Pyranometer 02,CESTAS-PV-02,Irradiance,Array Plane,W/m2,0,1200,2015-04-15,Operational
SN-CESTAS-02-TMP,Module Temp Sensor 02,CESTAS-PV-02,ModuleTemp,Module Backsheet,degC,-20,85,2015-04-15,Operational
SN-CESTAS-02-INV,Inverter Load Sensor 02,CESTAS-PV-02,InverterLoad,Inverter,pct,0,100,2015-04-15,Operational
SN-CESTAS-03-PWR,AC Power Meter 03,CESTAS-PV-03,AcPower,Inverter Output,kW,0,39375,2015-04-15,Operational
SN-CESTAS-03-IRR,Pyranometer 03,CESTAS-PV-03,Irradiance,Array Plane,W/m2,0,1200,2015-04-15,Operational
SN-CESTAS-03-TMP,Module Temp Sensor 03,CESTAS-PV-03,ModuleTemp,Module Backsheet,degC,-20,85,2015-04-15,Operational
SN-CESTAS-03-INV,Inverter Load Sensor 03,CESTAS-PV-03,InverterLoad,Inverter,pct,0,100,2015-04-15,Operational
SN-CESTAS-04-PWR,AC Power Meter 04,CESTAS-PV-04,AcPower,Inverter Output,kW,0,39375,2015-04-15,Operational
SN-CESTAS-04-IRR,Pyranometer 04,CESTAS-PV-04,Irradiance,Array Plane,W/m2,0,1200,2015-04-15,Operational
SN-CESTAS-04-TMP,Module Temp Sensor 04,CESTAS-PV-04,ModuleTemp,Module Backsheet,degC,-20,85,2015-04-15,Operational
SN-CESTAS-04-INV,Inverter Load Sensor 04,CESTAS-PV-04,InverterLoad,Inverter,pct,0,100,2015-04-15,Operational
SN-CESTAS-05-PWR,AC Power Meter 05,CESTAS-PV-05,AcPower,Inverter Output,kW,0,39375,2015-04-15,Operational
