ArrayId,ArrayName,PlantId,RatedCapacityKW,TiltDegrees,Orientation,Status
CESTAS-PV-01,Array 1,CESTAS,37500,25,South,Operational
CESTAS-PV-02,Array 2,CESTAS,37500,25,South,Operational
CESTAS-PV-03,Array 3,CESTAS,37500,25,South,Operational
CESTAS-PV-04,Array 4,CESTAS,37500,25,South,Operational
CESTAS-PV-05,Array 5,CESTAS,37500,25,South,Operational
CESTAS-PV-06,Array 6,CESTAS,37500,25,South,Operational
CESTAS-PV-07,Array 7,CESTAS,37500,25,South,Operational
CESTAS-PV-08,Array 8,CESTAS,37500,25,South,Operational
MARVILLE-PV-01,Array 1,MARVILLE,21714.3,25,South,Operational
MARVILLE-PV-02,Array 2,MARVILLE,21714.3,25,South,Operational
MARVILLE-PV-03,Array 3,MARVILLE,21714.3,25,South,Operational
MARVILLE-PV-04,Array 4,MARVILLE,21714.3,25,South,Operational
MARVILLE-PV-05,Array 5,MARVILLE,21714.3,25,South,Operational
MARVILLE-PV-06,Array 6,MARVILLE,21714.3,25,South,Operational
MARVILLE-PV-07,Array 7,MARVILLE,21714.3,25,South,Operational
TOUL-PV-01,Array 1,TOUL,19166.7,25,South,Operational
TOUL-PV-02,Array 2,TOUL,19166.7,25,South,Operational
TOUL-PV-03,Array 3,TOUL,19166.7,25,South,Operational
TOUL-PV-04,Array 4,TOUL,19166.7,25,South,Operational
TOUL-PV-05,Array 5,TOUL,19166.7,25,South,Operational
TOUL-PV-06,Array 6,TOUL,19166.7,25,South,Operational
MEES-PV-01,Array 1,MEES,16666.7,25,South,Operational
MEES-PV-02,Array 2,MEES,16666.7,25,South,Operational
MEES-PV-03,Array 3,MEES,16666.7,25,South,Operational
MEES-PV-04,Array 4,MEES,16666.7,25,South,Operational
MEES-PV-05,Array 5,MEES,16666.7,25,South,Operational
MEES-PV-06,Array 6,MEES,16666.7,25,South,Operational
GABARDAN-PV-01,Array 1,GABARDAN,15200,25,South,Operational
GABARDAN-PV-02,Array 2,GABARDAN,15200,25,South,Operational
GABARDAN-PV-03,Array 3,GABARDAN,15200,25,South,Operational
GABARDAN-PV-04,Array 4,GABARDAN,15200,25,South,Operational
GABARDAN-PV-05,Array 5,GABARDAN,15200,25,South,Operational
MASSANGIS-PV-01,Array 1,MASSANGIS,11200,25,South,Operational
MASSANGIS-PV-02,Array 2,MASSANGIS,11200,25,South,Operational
MASSANGIS-PV-03,Array 3,MASSANGIS,11200,25,South,Operational
MASSANGIS-PV-04,Array 4,MASSANGIS,11200,25,South,Operational
MASSANGIS-PV-05,Array 5,MASSANGIS,11200,25,South,Operational
