StringId,StringName,ArrayId,ModuleCount,ModuleType,RatedVoltageV,InstallDate,LastInspectionDate,Status
STR-CESTAS-PV-01,String 01,CESTAS-PV-01,93750,Mono-PERC,1500,2015-03-20,2025-06-10,Operational
STR-CESTAS-PV-02,String 02,CESTAS-PV-02,93750,Bifacial,1000,2015-03-20,2025-06-10,Operational
STR-CESTAS-PV-03,String 03,CESTAS-PV-03,93750,Poly,1500,2015-03-20,2025-06-10,Operational
STR-CESTAS-PV-04,String 04,CESTAS-PV-04,93750,Mono-PERC,1000,2015-03-20,2025-06-10,Operational
STR-CESTAS-PV-05,String 05,CESTAS-PV-05,93750,Bifacial,1500,2015-03-20,2025-06-10,Operational
STR-CESTAS-PV-06,String 06,CESTAS-PV-06,93750,Poly,1000,2015-03-20,2025-06-10,Operational
STR-CESTAS-PV-07,String 07,CESTAS-PV-07,93750,Mono-PERC,1500,2015-03-20,2025-06-10,Operational
STR-CESTAS-PV-08,String 08,CESTAS-PV-08,93750,Bifacial,1000,2015-03-20,2025-06-10,Operational
STR-MARVILLE-PV-01,String 01,MARVILLE-PV-01,54286,Poly,1500,2018-03-20,2025-06-10,Operational
STR-MARVILLE-PV-02,String 02,MARVILLE-PV-02,54286,Mono-PERC,1000,2018-03-20,2025-06-10,Operational
STR-MARVILLE-PV-03,String 03,MARVILLE-PV-03,54286,Bifacial,1500,2018-03-20,2025-06-10,Operational
STR-MARVILLE-PV-04,String 04,MARVILLE-PV-04,54286,Poly,1000,2018-03-20,2025-06-10,Operational
STR-MARVILLE-PV-05,String 05,MARVILLE-PV-05,54286,Mono-PERC,1500,2018-03-20,2025-06-10,Operational
STR-MARVILLE-PV-06,String 06,MARVILLE-PV-06,54286,Bifacial,1000,2018-03-20,2025-06-10,Operational
STR-MARVILLE-PV-07,String 07,MARVILLE-PV-07,54286,Poly,1500,2018-03-20,2025-06-10,Operational
STR-TOUL-PV-01,String 01,TOUL-PV-01,47917,Mono-PERC,1000,2012-03-20,2025-06-10,Operational
STR-TOUL-PV-02,String 02,TOUL-PV-02,47917,Bifacial,1500,2012-03-20,2025-06-10,Operational
STR-TOUL-PV-03,String 03,TOUL-PV-03,47917,Poly,1000,2012-03-20,2025-06-10,Operational
STR-TOUL-PV-04,String 04,TOUL-PV-04,47917,Mono-PERC,1500,2012-03-20,2025-06-10,Operational
STR-TOUL-PV-05,String 05,TOUL-PV-05,47917,Bifacial,1000,2012-03-20,2025-06-10,Operational
STR-TOUL-PV-06,String 06,TOUL-PV-06,47917,Poly,1500,2012-03-20,2025-06-10,Operational
STR-MEES-PV-01,String 01,MEES-PV-01,41667,Mono-PERC,1000,2011-03-20,2025-06-10,Operational
STR-MEES-PV-02,String 02,MEES-PV-02,41667,Bifacial,1500,2011-03-20,2025-06-10,Operational
STR-MEES-PV-03,String 03,MEES-PV-03,41667,Poly,1000,2011-03-20,2025-06-10,Operational
STR-MEES-PV-04,String 04,MEES-PV-04,41667,Mono-PERC,1500,2011-03-20,2025-06-10,Operational
STR-MEES-PV-05,String 05,MEES-PV-05,41667,Bifacial,1000,2011-03-20,2025-06-10,Operational
STR-MEES-PV-06,String 06,MEES-PV-06,41667,Poly,1500,2011-03-20,2025-06-10,Operational
STR-GABARDAN-PV-01,String 01,GABARDAN-PV-01,38000,Mono-PERC,1000,2016-03-20,2025-06-10,Operational
STR-GABARDAN-PV-02,String 02,GABARDAN-PV-02,38000,Bifacial,1500,2016-03-20,2025-06-10,Operational
STR-GABARDAN-PV-03,String 03,GABARDAN-PV-03,38000,Poly,1000,2016-03-20,2025-06-10,Operational
STR-GABARDAN-PV-04,String 04,GABARDAN-PV-04,38000,Mono-PERC,1500,2016-03-20,2025-06-10,Operational
STR-GABARDAN-PV-05,String 05,GABARDAN-PV-05,38000,Bifacial,1000,2016-03-20,2025-06-10,Operational
STR-MASSANGIS-PV-01,String 01,MASSANGIS-PV-01,28000,Poly,1500,2012-03-20,2025-06-10,Operational
STR-MASSANGIS-PV-02,String 02,MASSANGIS-PV-02,28000,Mono-PERC,1000,2012-03-20,2025-06-10,Operational
STR-MASSANGIS-PV-03,String 03,MASSANGIS-PV-03,28000,Bifacial,1500,2012-03-20,2025-06-10,Operational
STR-MASSANGIS-PV-04,String 04,MASSANGIS-PV-04,28000,Poly,1000,2012-03-20,2025-06-10,Operational
STR-MASSANGIS-PV-05,String 05,MASSANGIS-PV-05,28000,Mono-PERC,1500,2012-03-20,2025-06-10,Operational
