TrackerId,TrackerName,ArrayId,TrackerType,AxisType,MaxTiltDeg,InstallDate,Status
TRK-CESTAS-PV-01,Tracker 01,CESTAS-PV-01,Single-Axis,Horizontal,55,2015-03-25,Operational
TRK-CESTAS-PV-02,Tracker 02,CESTAS-PV-02,Fixed-Tilt,None,25,2015-03-25,Operational
TRK-CESTAS-PV-03,Tracker 03,CESTAS-PV-03,Single-Axis,Horizontal,55,2015-03-25,Operational
TRK-CESTAS-PV-04,Tracker 04,CESTAS-PV-04,Fixed-Tilt,None,25,2015-03-25,Operational
TRK-CESTAS-PV-05,Tracker 05,CESTAS-PV-05,Single-Axis,Horizontal,55,2015-03-25,Operational
TRK-CESTAS-PV-06,Tracker 06,CESTAS-PV-06,Fixed-Tilt,None,25,2015-03-25,Operational
TRK-CESTAS-PV-07,Tracker 07,CESTAS-PV-07,Single-Axis,Horizontal,55,2015-03-25,Operational
TRK-CESTAS-PV-08,Tracker 08,CESTAS-PV-08,Fixed-Tilt,None,25,2015-03-25,Operational
TRK-MARVILLE-PV-01,Tracker 01,MARVILLE-PV-01,Single-Axis,Horizontal,55,2018-03-25,Operational
TRK-MARVILLE-PV-02,Tracker 02,MARVILLE-PV-02,Fixed-Tilt,None,25,2018-03-25,Operational
TRK-MARVILLE-PV-03,Tracker 03,MARVILLE-PV-03,Single-Axis,Horizontal,55,2018-03-25,Operational
TRK-MARVILLE-PV-04,Tracker 04,MARVILLE-PV-04,Fixed-Tilt,None,25,2018-03-25,Operational
TRK-MARVILLE-PV-05,Tracker 05,MARVILLE-PV-05,Single-Axis,Horizontal,55,2018-03-25,Operational
TRK-MARVILLE-PV-06,Tracker 06,MARVILLE-PV-06,Fixed-Tilt,None,25,2018-03-25,Operational
TRK-MARVILLE-PV-07,Tracker 07,MARVILLE-PV-07,Single-Axis,Horizontal,55,2018-03-25,Operational
TRK-TOUL-PV-01,Tracker 01,TOUL-PV-01,Fixed-Tilt,None,25,2012-03-25,Operational
TRK-TOUL-PV-02,Tracker 02,TOUL-PV-02,Single-Axis,Horizontal,55,2012-03-25,Operational
TRK-TOUL-PV-03,Tracker 03,TOUL-PV-03,Fixed-Tilt,None,25,2012-03-25,Operational
TRK-TOUL-PV-04,Tracker 04,TOUL-PV-04,Single-Axis,Horizontal,55,2012-03-25,Operational
TRK-TOUL-PV-05,Tracker 05,TOUL-PV-05,Fixed-Tilt,None,25,2012-03-25,Operational
TRK-TOUL-PV-06,Tracker 06,TOUL-PV-06,Single-Axis,Horizontal,55,2012-03-25,Operational
TRK-MEES-PV-01,Tracker 01,MEES-PV-01,Fixed-Tilt,None,25,2011-03-25,Operational
TRK-MEES-PV-02,Tracker 02,MEES-PV-02,Single-Axis,Horizontal,55,2011-03-25,Operational
TRK-MEES-PV-03,Tracker 03,MEES-PV-03,Fixed-Tilt,None,25,2011-03-25,Operational
TRK-MEES-PV-04,Tracker 04,MEES-PV-04,Single-Axis,Horizontal,55,2011-03-25,Operational
TRK-MEES-PV-05,Tracker 05,MEES-PV-05,Fixed-Tilt,None,25,2011-03-25,Operational
TRK-MEES-PV-06,Tracker 06,MEES-PV-06,Single-Axis,Horizontal,55,2011-03-25,Operational
TRK-GABARDAN-PV-01,Tracker 01,GABARDAN-PV-01,Fixed-Tilt,None,25,2016-03-25,Operational
TRK-GABARDAN-PV-02,Tracker 02,GABARDAN-PV-02,Single-Axis,Horizontal,55,2016-03-25,Operational
TRK-GABARDAN-PV-03,Tracker 03,GABARDAN-PV-03,Fixed-Tilt,None,25,2016-03-25,Operational
TRK-GABARDAN-PV-04,Tracker 04,GABARDAN-PV-04,Single-Axis,Horizontal,55,2016-03-25,Operational
TRK-GABARDAN-PV-05,Tracker 05,GABARDAN-PV-05,Fixed-Tilt,None,25,2016-03-25,Operational
TRK-MASSANGIS-PV-01,Tracker 01,MASSANGIS-PV-01,Single-Axis,Horizontal,55,2012-03-25,Operational
TRK-MASSANGIS-PV-02,Tracker 02,MASSANGIS-PV-02,Fixed-Tilt,None,25,2012-03-25,Operational
TRK-MASSANGIS-PV-03,Tracker 03,MASSANGIS-PV-03,Single-Axis,Horizontal,55,2012-03-25,Operational
TRK-MASSANGIS-PV-04,Tracker 04,MASSANGIS-PV-04,Fixed-Tilt,None,25,2012-03-25,Operational
TRK-MASSANGIS-PV-05,Tracker 05,MASSANGIS-PV-05,Single-Axis,Horizontal,55,2012-03-25,Operational
