ProductionId,ArrayId,Date,Hour,IrradianceWm2,PowerOutputKW,PerformanceRatio,ModuleTempC,InverterEfficiency,GridFrequencyHz
EP-00001,CESTAS-PV-01,2025-12-01,8,304,8778,0.77,27,97.8,49.98
EP-00002,CESTAS-PV-01,2025-12-01,10,672,19656,0.78,40,97.9,50
EP-00003,CESTAS-PV-01,2025-12-01,12,950,28143.8,0.79,53,98,50.02
EP-00004,CESTAS-PV-01,2025-12-01,14,828,24840,0.8,51,98,50.04
EP-00005,CESTAS-PV-01,2025-12-01,16,446,13547.2,0.81,36,98,49.96
EP-00006,CESTAS-PV-02,2025-12-01,8,344,10578,0.82,27,98.1,49.98
EP-00007,CESTAS-PV-02,2025-12-01,10,656,20418,0.83,40,98.1,50
EP-00008,CESTAS-PV-02,2025-12-01,12,934,29421,0.84,53,98.2,50.02
EP-00009,CESTAS-PV-02,2025-12-01,14,812,23142,0.76,51,98.2,50.04
EP-00010,CESTAS-PV-02,2025-12-01,16,430,12416.2,0.77,36,98.3,49.96
EP-00011,CESTAS-PV-03,2025-12-01,8,328,9594,0.78,27,98.4,49.98
EP-00012,CESTAS-PV-03,2025-12-01,10,696,20619,0.79,40,98.4,50
EP-00013,CESTAS-PV-03,2025-12-01,12,974,29220,0.8,53,98.4,50.02
EP-00014,CESTAS-PV-03,2025-12-01,14,796,24178.5,0.81,51,98.5,50.04
EP-00015,CESTAS-PV-03,2025-12-01,16,414,12730.5,0.82,36,97.8,49.96
EP-00016,CESTAS-PV-04,2025-12-01,8,312,9711,0.83,27,97.8,49.98
EP-00017,CESTAS-PV-04,2025-12-01,10,680,21420,0.84,40,97.9,50
EP-00018,CESTAS-PV-04,2025-12-01,12,958,27303,0.76,53,98,50.02
EP-00019,CESTAS-PV-04,2025-12-01,14,836,24139.5,0.77,51,98,50.04
EP-00020,CESTAS-PV-04,2025-12-01,16,454,13279.5,0.78,36,98,49.96
EP-00021,CESTAS-PV-05,2025-12-01,8,296,8769,0.79,27,98.1,49.98
EP-00022,CESTAS-PV-05,2025-12-01,10,664,19920,0.8,40,98.1,50
EP-00023,CESTAS-PV-05,2025-12-01,12,942,28613.3,0.81,53,98.2,50.02
EP-00024,CESTAS-PV-05,2025-12-01,14,820,25215,0.82,51,98.2,50.04
EP-00025,CESTAS-PV-05,2025-12-01,16,438,13632.8,0.83,36,98.3,49.96
EP-00026,CESTAS-PV-06,2025-12-01,8,336,10584,0.84,27,98.4,49.98
EP-00027,CESTAS-PV-06,2025-12-01,10,704,20064,0.76,40,98.4,50
EP-00028,CESTAS-PV-06,2025-12-01,12,926,26738.2,0.77,53,98.4,50.02
EP-00029,CESTAS-PV-06,2025-12-01,14,804,23517,0.78,51,98.5,50.04
EP-00030,CESTAS-PV-06,2025-12-01,16,422,12501.8,0.79,36,97.8,49.96
EP-00031,CESTAS-PV-07,2025-12-01,8,320,9600,0.8,27,97.8,49.98
EP-00032,CESTAS-PV-07,2025-12-01,10,688,20898,0.81,40,97.9,50
EP-00033,CESTAS-PV-07,2025-12-01,12,966,29704.5,0.82,53,98,50.02
EP-00034,CESTAS-PV-07,2025-12-01,14,844,26269.5,0.83,51,98,50.04
EP-00035,CESTAS-PV-07,2025-12-01,16,406,12789,0.84,36,98,49.96
EP-00036,CESTAS-PV-08,2025-12-01,8,304,8664,0.76,27,98.1,49.98
EP-00037,CESTAS-PV-08,2025-12-01,10,672,19404,0.77,40,98.1,50
EP-00038,CESTAS-PV-08,2025-12-01,12,950,27787.5,0.78,53,98.2,50.02
EP-00039,CESTAS-PV-08,2025-12-01,14,828,24529.5,0.79,51,98.2,50.04
EP-00040,CESTAS-PV-08,2025-12-01,16,446,13380,0.8,36,98.3,49.96
EP-00041,MARVILLE-PV-01,2025-12-01,8,344,6050.5,0.81,27,98.4,49.98
EP-00042,MARVILLE-PV-01,2025-12-01,10,656,11680.6,0.82,40,98.4,50
EP-00043,MARVILLE-PV-01,2025-12-01,12,934,16833.4,0.83,53,98.4,50.02
EP-00044,MARVILLE-PV-01,2025-12-01,14,812,14810.9,0.84,51,98.5,50.04
EP-00045,MARVILLE-PV-01,2025-12-01,16,430,7096.2,0.76,36,97.8,49.96
