Timestamp,ArrayId,SensorId,SensorType,Value,Unit,Quality
2025-12-01T10:00:00,CESTAS-PV-01,SN-CESTAS-01-PWR,AcPower,20910,kW,Good
2025-12-01T10:00:00,CESTAS-PV-01,SN-CESTAS-01-IRR,Irradiance,680,W/m2,Good
2025-12-01T10:00:00,CESTAS-PV-01,SN-CESTAS-01-TMP,ModuleTemp,40,degC,Good
2025-12-01T10:00:00,CESTAS-PV-01,SN-CESTAS-01-INV,InverterLoad,55.8,pct,Good
2025-12-01T12:00:00,CESTAS-PV-01,SN-CESTAS-01-PWR,AcPower,29212.5,kW,Good
2025-12-01T12:00:00,CESTAS-PV-01,SN-CESTAS-01-IRR,Irradiance,950,W/m2,Good
2025-12-01T12:00:00,CESTAS-PV-01,SN-CESTAS-01-TMP,ModuleTemp,52,degC,Good
2025-12-01T12:00:00,CESTAS-PV-01,SN-CESTAS-01-INV,InverterLoad,77.9,pct,Good
2025-12-01T14:00:00,CESTAS-PV-01,SN-CESTAS-01-PWR,AcPower,25215,kW,Good
2025-12-01T14:00:00,CESTAS-PV-01,SN-CESTAS-01-IRR,Irradiance,820,W/m2,Good
2025-12-01T14:00:00,CESTAS-PV-01,SN-CESTAS-01-TMP,ModuleTemp,49,degC,Good
2025-12-01T14:00:00,CESTAS-PV-01,SN-CESTAS-01-INV,InverterLoad,67.2,pct,Good
2025-12-01T10:00:00,CESTAS-PV-02,SN-CESTAS-02-PWR,AcPower,20910,kW,Good
2025-12-01T10:00:00,CESTAS-PV-02,SN-CESTAS-02-IRR,Irradiance,680,W/m2,Good
2025-12-01T10:00:00,CESTAS-PV-02,SN-CESTAS-02-TMP,ModuleTemp,40,degC,Good
2025-12-01T10:00:00,CESTAS-PV-02,SN-CESTAS-02-INV,InverterLoad,55.8,pct,Good
2025-12-01T12:00:00,CESTAS-PV-02,SN-CESTAS-02-PWR,AcPower,29212.5,kW,Good
2025-12-01T12:00:00,CESTAS-PV-02,SN-CESTAS-02-IRR,Irradiance,950,W/m2,Good
2025-12-01T12:00:00,CESTAS-PV-02,SN-CESTAS-02-TMP,ModuleTemp,52,degC,Good
2025-12-01T12:00:00,CESTAS-PV-02,SN-CESTAS-02-INV,InverterLoad,77.9,pct,Good
2025-12-01T14:00:00,CESTAS-PV-02,SN-CESTAS-02-PWR,AcPower,25215,kW,Good
2025-12-01T14:00:00,CESTAS-PV-02,SN-CESTAS-02-IRR,Irradiance,820,W/m2,Good
2025-12-01T14:00:00,CESTAS-PV-02,SN-CESTAS-02-TMP,ModuleTemp,49,degC,Good
2025-12-01T14:00:00,CESTAS-PV-02,SN-CESTAS-02-INV,InverterLoad,67.2,pct,Good
2025-12-01T10:00:00,CESTAS-PV-03,SN-CESTAS-03-PWR,AcPower,20910,kW,Good
2025-12-01T10:00:00,CESTAS-PV-03,SN-CESTAS-03-IRR,Irradiance,680,W/m2,Good
2025-12-01T10:00:00,CESTAS-PV-03,SN-CESTAS-03-TMP,ModuleTemp,40,degC,Good
2025-12-01T10:00:00,CESTAS-PV-03,SN-CESTAS-03-INV,InverterLoad,55.8,pct,Good
2025-12-01T12:00:00,CESTAS-PV-03,SN-CESTAS-03-PWR,AcPower,29212.5,kW,Good
2025-12-01T12:00:00,CESTAS-PV-03,SN-CESTAS-03-IRR,Irradiance,950,W/m2,Good
2025-12-01T12:00:00,CESTAS-PV-03,SN-CESTAS-03-TMP,ModuleTemp,52,degC,Good
2025-12-01T12:00:00,CESTAS-PV-03,SN-CESTAS-03-INV,InverterLoad,77.9,pct,Good
2025-12-01T14:00:00,CESTAS-PV-03,SN-CESTAS-03-PWR,AcPower,25215,kW,Good
2025-12-01T14:00:00,CESTAS-PV-03,SN-CESTAS-03-IRR,Irradiance,820,W/m2,Good
2025-12-01T14:00:00,CESTAS-PV-03,SN-CESTAS-03-TMP,ModuleTemp,49,degC,Good
2025-12-01T14:00:00,CESTAS-PV-03,SN-CESTAS-03-INV,InverterLoad,67.2,pct,Good
2025-12-01T10:00:00,CESTAS-PV-04,SN-CESTAS-04-PWR,AcPower,20910,kW,Good
2025-12-01T10:00:00,CESTAS-PV-04,SN-CESTAS-04-IRR,Irradiance,680,W/m2,Good
2025-12-01T10:00:00,CESTAS-PV-04,SN-CESTAS-04-TMP,ModuleTemp,40,degC,Good
2025-12-01T10:00:00,CESTAS-PV-04,SN-CESTAS-04-INV,InverterLoad,55.8,pct,Good
2025-12-01T12:00:00,CESTAS-PV-04,SN-CESTAS-04-PWR,AcPower,29212.5,kW,Good
2025-12-01T12:00:00,CESTAS-PV-04,SN-CESTAS-04-IRR,Irradiance,950,W/m2,Good
2025-12-01T12:00:00,CESTAS-PV-04,SN-CESTAS-04-TMP,ModuleTemp,52,degC,Good
2025-12-01T12:00:00,CESTAS-PV-04,SN-CESTAS-04-INV,InverterLoad,77.9,pct,Good
2025-12-01T14:00:00,CESTAS-PV-04,SN-CESTAS-04-PWR,AcPower,25215,kW,Good
