OutputId,TurbineId,Date,Hour,WindSpeedMs,PowerOutputKW,CapacityFactor,RotorRPM,PitchAngleDeg,YawAngleDeg,GridFrequencyHz
PO-001,WT-001,2024-11-15,0,12.5,6800,0.85,11.2,3.5,185,50.01
PO-002,WT-001,2024-11-15,6,14.2,7600,0.95,12.1,2.8,190,50.00
PO-003,WT-001,2024-11-15,12,11.0,5900,0.74,10.5,4.2,178,50.02
PO-004,WT-001,2024-11-15,18,8.5,3800,0.48,8.8,6.1,195,49.99
PO-005,WT-002,2024-11-15,0,12.3,6700,0.84,11.1,3.6,182,50.01
PO-006,WT-002,2024-11-15,12,10.8,5700,0.71,10.3,4.5,175,50.00
PO-007,WT-005,2024-11-15,0,9.2,1850,0.74,14.5,5.0,220,60.00
PO-008,WT-005,2024-11-15,6,11.5,2350,0.94,16.2,3.2,215,60.01
PO-009,WT-005,2024-11-15,12,7.8,1400,0.56,12.8,7.0,230,59.99
PO-010,WT-005,2024-11-15,18,6.5,1000,0.40,10.5,9.5,225,60.00
PO-011,WT-008,2024-11-15,0,10.5,3600,0.86,13.0,4.0,145,50.00
PO-012,WT-008,2024-11-15,12,13.0,4100,0.98,14.8,2.5,150,50.01
PO-013,WT-013,2024-11-15,0,15.0,12500,0.96,8.5,2.0,265,50.00
PO-014,WT-013,2024-11-15,6,16.5,13000,1.00,9.0,1.5,270,50.01
PO-015,WT-013,2024-11-15,12,12.0,9200,0.71,7.5,3.8,258,50.00
PO-016,WT-013,2024-11-15,18,9.5,5500,0.42,6.2,5.5,260,49.99
PO-017,WT-015,2024-11-15,0,14.5,14200,0.95,7.8,2.2,272,50.00
PO-018,WT-015,2024-11-15,12,11.5,8500,0.57,6.5,4.0,268,50.01
PO-019,WT-011,2024-11-15,0,10.0,2800,0.82,15.0,4.5,310,50.00
PO-020,WT-011,2024-11-15,12,8.0,1800,0.53,12.0,7.2,315,50.00
"PO-021","WT-008","2024-11-16","0","16","7680","0.96","15.3","8.8","248","50.03"
"PO-022","WT-008","2024-11-16","6","9.7","4527","0.57","12","14.7","21","49.99"
"PO-023","WT-008","2024-11-16","12","9","4380","0.55","11.9","4.5","169","50"
"PO-024","WT-008","2024-11-16","18","15.5","7840","0.98","15","8.8","193","49.93"
"PO-025","WT-005","2024-11-16","0","14.3","7120","0.89","13","13.1","131","50.01"
"PO-026","WT-005","2024-11-16","6","12.3","6880","0.86","13.4","10.9","15","49.95"
"PO-027","WT-005","2024-11-16","12","12.1","7280","0.91","13.7","4","165","50.05"
"PO-028","WT-005","2024-11-16","18","13.3","7360","0.92","12.4","1.5","353","49.94"
"PO-029","WT-002","2024-11-16","0","13.4","6800","0.85","13.7","6.5","294","49.92"
"PO-030","WT-002","2024-11-16","6","18.7","7040","0.88","14.9","6.3","272","50.03"
"PO-031","WT-002","2024-11-16","12","6.1","3701","0.46","10.2","2.5","125","49.9"
